node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_cells,linear_stencil,apply,100,100,100,1000000,1,2526.2515,0.0362,2526.2515,0.0362,5401.5432,0.0797,0.9994,0.6331,63.3523,44547.2917,0.6012
gauss3,e_memory_by_cells,linear_stencil,overall,100,100,100,1000000,1,1382.1777,0.0480,1382.1777,0.0480,10867.7773,0.3311,3.5953,1.8063,50.2406,32330.4398,1.0180
gauss3,e_memory_by_cells,linear_stencil,apply,120,120,120,1728000,1,2304.5172,0.0611,2304.5172,0.0611,11858.5344,0.4183,3.0297,1.3794,45.5309,44184.4076,1.6800
gauss3,e_memory_by_cells,linear_stencil,overall,120,120,120,1728000,1,1430.6383,0.0870,1430.6383,0.0870,12181.4167,0.7327,4.6555,2.1567,46.3250,32177.7469,1.8604
gauss3,e_memory_by_cells,linear_stencil,apply,140,140,140,2744000,1,1732.2480,0.1002,1732.2480,0.1002,11238.9529,0.6704,3.0536,1.3552,44.3801,23429.0634,0.9305
gauss3,e_memory_by_cells,linear_stencil,overall,140,140,140,2744000,1,1554.2166,0.1314,1554.2166,0.1314,12069.1674,1.0278,4.1342,1.9006,45.9723,41327.8650,3.4515
gauss3,e_memory_by_cells,linear_stencil,apply,160,160,160,4096000,1,1747.9720,0.1548,1747.9720,0.1548,11673.4995,1.0205,3.1109,1.3673,43.9505,40032.8702,3.5267
gauss3,e_memory_by_cells,linear_stencil,overall,160,160,160,4096000,1,1664.2129,0.1980,1664.2129,0.1980,12218.3424,1.1580,3.1291,1.4501,46.3414,37459.6669,4.5107
gauss3,e_memory_by_cells,linear_stencil,apply,180,180,180,5832000,1,1631.3608,0.2084,1631.3608,0.2084,10834.6680,1.3693,2.9296,1.2974,44.2858,36840.1757,4.6021
gauss3,e_memory_by_cells,linear_stencil,overall,180,180,180,5832000,1,1668.4348,0.2642,1668.4348,0.2642,11095.3244,1.8100,3.4403,1.5514,45.0947,38465.6923,6.3873
gauss3,e_memory_by_cells,linear_stencil,apply,200,200,200,8000000,1,1665.5617,0.2846,1665.5617,0.2846,6958.5358,0.8101,1.2627,0.6558,51.9366,37510.0192,6.4173
gauss3,e_memory_by_cells,linear_stencil,overall,200,200,200,8000000,1,1757.0624,0.3697,1757.0624,0.3697,10479.3061,2.2602,3.1345,1.4262,45.4994,38713.6982,8.5684
gauss3,e_memory_by_cells,linear_stencil,apply,220,220,220,10648000,1,1728.5719,0.3821,1728.5719,0.3821,9838.0687,2.1891,2.5624,1.1549,45.0722,34734.8842,7.7330
gauss3,e_memory_by_cells,linear_stencil,overall,220,220,220,10648000,1,1721.3790,0.4826,1721.3790,0.4826,10540.1043,2.9682,3.0942,1.3972,45.1572,36628.8615,10.3010
gauss3,e_memory_by_cells,linear_stencil,apply,240,240,240,13824000,1,1744.5337,0.5188,1744.5337,0.5188,10254.6627,3.0098,2.7124,1.2115,44.6661,37100.0226,10.8766
gauss3,e_memory_by_cells,linear_stencil,overall,240,240,240,13824000,1,1755.7532,0.6396,1755.7532,0.6396,10744.7712,3.9648,3.1844,1.4220,44.6557,36931.1062,13.0136
gauss3,e_memory_by_cells,linear_stencil,apply,260,260,260,17576000,1,2168.0344,0.8145,2168.0344,0.8145,10463.2926,3.9606,2.8064,1.2455,44.3829,36735.5078,13.8831
gauss3,e_memory_by_cells,linear_stencil,overall,260,260,260,17576000,1,2084.2315,0.9639,2084.2315,0.9639,10686.3163,4.8637,3.0729,1.3906,45.2527,36538.2694,16.3855
gauss3,e_memory_by_cells,linear_stencil,apply,280,280,280,21952000,1,1730.0112,0.8031,1730.0112,0.8031,10049.2646,4.6416,2.6325,1.1859,45.0495,36737.9523,16.9384
gauss3,e_memory_by_cells,linear_stencil,overall,280,280,280,21952000,1,1762.2093,0.9859,1762.2093,0.9859,10743.7998,6.1181,3.0951,1.3950,45.0724,36997.0918,20.9963
gauss3,e_memory_by_cells,linear_stencil,apply,300,300,300,27000000,1,1753.1057,0.9994,1753.1057,0.9994,10400.4464,6.0014,2.7666,1.2344,44.6193,36910.8769,21.3303
gauss3,e_memory_by_cells,linear_stencil,overall,300,300,300,27000000,1,1794.7822,1.2170,1794.7822,1.2170,10832.0752,7.4264,3.0547,1.3752,45.0205,37557.5119,26.0207
gauss3,e_memory_by_cells,linear_stencil,apply,320,320,320,32768000,1,2114.9011,1.4627,2114.9011,1.4627,10185.1638,7.0390,2.6731,1.2039,45.0382,36777.6690,25.5805
gauss3,e_memory_by_cells,linear_stencil,overall,320,320,320,32768000,1,2055.1116,1.7148,2055.1116,1.7148,10804.2191,8.9324,3.0274,1.3647,45.0782,37354.9564,30.5680
gauss3,e_memory_by_cells,linear_stencil,apply,340,340,340,39304000,1,1759.8757,1.4598,1759.8757,1.4598,11229.6622,9.1936,2.9102,1.2936,44.4515,36826.8130,30.5636
gauss3,e_memory_by_cells,linear_stencil,overall,340,340,340,39304000,1,1801.4623,1.7807,1801.4623,1.7807,10829.7286,10.7230,3.0298,1.3833,45.6551,37085.9950,36.9091
gauss3,e_memory_by_cells,linear_stencil,apply,360,360,360,46656000,1,1709.7231,1.6775,1709.7231,1.6775,11639.5459,11.1661,2.9770,1.3275,44.5929,34997.6067,33.6994
gauss3,e_memory_by_cells,linear_stencil,overall,360,360,360,46656000,1,1763.8651,2.0647,1763.8651,2.0647,10786.9523,12.6729,3.0164,1.3907,46.1062,36540.4821,42.5672
gauss3,e_memory_by_cells,linear_stencil,apply,380,380,380,54872000,1,2039.6054,2.3773,2039.6054,2.3773,10455.5601,12.2007,2.7654,1.3022,47.0911,36263.5726,41.9556
gauss3,e_memory_by_cells,linear_stencil,overall,380,380,380,54872000,1,2050.8286,2.8328,2050.8286,2.8328,10748.5922,14.8625,3.0077,1.4152,47.0510,36713.7411,50.4695
gauss3,e_memory_by_cells,linear_stencil,apply,400,400,400,64000000,1,1782.0753,2.4136,1782.0753,2.4136,10342.8225,14.0006,2.7203,1.2903,47.4313,36116.1385,48.6282
gauss3,e_memory_by_cells,linear_stencil,overall,400,400,400,64000000,1,1813.7872,2.9309,1813.7872,2.9309,10676.6356,17.0767,2.9628,1.4076,47.5091,37065.0827,59.7656
gauss3,e_memory_by_cells,linear_stencil,apply,420,420,420,74088000,1,1767.3403,2.7601,1767.3403,2.7601,10417.0139,16.2696,2.7304,1.3089,47.9369,36492.0327,56.8447
