time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,linear_stencil,1000,10,1,2.474896609783173e-05
time_routine,linear_stencil,1000,10,1,6.865989416837692e-05
time_apply,sparse_band_matrix,1000,10,1,1.998897641897202e-05
time_routine,sparse_band_matrix,1000,10,1,7.406901568174362e-05
time_apply,sparse_csr_matrix,1000,10,1,3.2779760658741e-05
time_routine,sparse_csr_matrix,1000,10,1,0.00024044094607234
time_apply,linear_stencil,8000,20,1,0.0001567802391946316
time_routine,linear_stencil,8000,20,1,0.0001892298460006714
time_apply,sparse_band_matrix,8000,20,1,0.0001626713201403618
time_routine,sparse_band_matrix,8000,20,1,0.0006022900342941284
time_apply,sparse_csr_matrix,8000,20,1,0.0002494999207556248
time_routine,sparse_csr_matrix,8000,20,1,0.001980341039597988
time_apply,linear_stencil,27000,30,1,0.0005129510536789894
time_routine,linear_stencil,27000,30,1,0.0005763308145105839
time_apply,sparse_band_matrix,27000,30,1,0.0007400708273053169
time_routine,sparse_band_matrix,27000,30,1,0.001892412081360817
time_apply,sparse_csr_matrix,27000,30,1,0.0009580501355230808
time_routine,sparse_csr_matrix,27000,30,1,0.006416535004973412
time_apply,linear_stencil,64000,40,1,0.001410720869898796
time_routine,linear_stencil,64000,40,1,0.001583350822329521
time_apply,sparse_band_matrix,64000,40,1,0.001382390968501568
time_routine,sparse_band_matrix,64000,40,1,0.004229804035276175
time_apply,sparse_csr_matrix,64000,40,1,0.002855082973837852
time_routine,sparse_csr_matrix,64000,40,1,0.01566455373540521
time_apply,linear_stencil,125000,50,1,0.002412042114883661
time_routine,linear_stencil,125000,50,1,0.002743612043559551
time_apply,sparse_band_matrix,125000,50,1,0.002691163215786219
time_routine,sparse_band_matrix,125000,50,1,0.008344977162778378
time_apply,sparse_csr_matrix,125000,50,1,0.004846304189413786
time_routine,sparse_csr_matrix,125000,50,1,0.02890900522470474
time_apply,linear_stencil,216000,60,1,0.003798122983425856
time_routine,linear_stencil,216000,60,1,0.00432657403871417
time_apply,sparse_band_matrix,216000,60,1,0.004190783016383648
time_routine,sparse_band_matrix,216000,60,1,0.01321084192022681
time_apply,sparse_csr_matrix,216000,60,1,0.007933396846055984
time_routine,sparse_csr_matrix,216000,60,1,0.04933601338416338
time_apply,linear_stencil,343000,70,1,0.006842236034572124
time_routine,linear_stencil,343000,70,1,0.007633026689291
time_apply,sparse_band_matrix,343000,70,1,0.007222455926239491
time_routine,sparse_band_matrix,343000,70,1,0.02089096792042255
time_apply,sparse_csr_matrix,343000,70,1,0.0125479712150991
time_routine,sparse_csr_matrix,343000,70,1,0.07693387707695365
time_apply,linear_stencil,512000,80,1,0.01050289906561375
time_routine,linear_stencil,512000,80,1,0.01165131013840437
time_apply,sparse_band_matrix,512000,80,1,0.01026497920975089
time_routine,sparse_band_matrix,512000,80,1,0.03005346609279513
time_apply,sparse_csr_matrix,512000,80,1,0.01876444695517421
time_routine,sparse_csr_matrix,512000,80,1,0.1152374600060284
time_apply,linear_stencil,729000,90,1,0.01431540213525295
time_routine,linear_stencil,729000,90,1,0.01629578415304422
time_apply,sparse_band_matrix,729000,90,1,0.01520779263228178
time_routine,sparse_band_matrix,729000,90,1,0.04187188623473048
time_apply,sparse_csr_matrix,729000,90,1,0.02673836285248399
time_routine,sparse_csr_matrix,729000,90,1,0.1643218118697405
time_apply,linear_stencil,1000000,100,1,0.01984673691913486
time_routine,linear_stencil,1000000,100,1,0.02281105890870094
time_apply,sparse_band_matrix,1000000,100,1,0.02068188786506653
time_routine,sparse_band_matrix,1000000,100,1,0.05717714922502637
time_apply,sparse_csr_matrix,1000000,100,1,0.03659520065411925
time_routine,sparse_csr_matrix,1000000,100,1,0.2225227109156549
time_apply,linear_stencil,1331000,110,1,0.02680004294961691
time_routine,linear_stencil,1331000,110,1,0.03018347639590502
time_apply,sparse_band_matrix,1331000,110,1,0.02742965379729867
time_routine,sparse_band_matrix,1331000,110,1,0.07700022589415312
time_apply,sparse_csr_matrix,1331000,110,1,0.05063638370484114
time_routine,sparse_csr_matrix,1331000,110,1,0.3023979309946299
time_apply,linear_stencil,1728000,120,1,0.03425749996677041
time_routine,linear_stencil,1728000,120,1,0.03899958310648799
time_apply,sparse_band_matrix,1728000,120,1,0.03581579076126218
time_routine,sparse_band_matrix,1728000,120,1,0.1043068100698292
time_apply,sparse_csr_matrix,1728000,120,1,0.0654817558825016
time_routine,sparse_csr_matrix,1728000,120,1,0.3928627679124475
time_apply,linear_stencil,2197000,130,1,0.04307049792259932
time_routine,linear_stencil,2197000,130,1,0.04921647300943732
time_apply,sparse_band_matrix,2197000,130,1,0.04579401900991797
time_routine,sparse_band_matrix,2197000,130,1,0.1307968720793724
time_apply,sparse_csr_matrix,2197000,130,1,0.08288628235459328
time_routine,sparse_csr_matrix,2197000,130,1,0.5020544226281345
time_apply,linear_stencil,2744000,140,1,0.0538277761079371
time_routine,linear_stencil,2744000,140,1,0.06096320226788521
time_apply,sparse_band_matrix,2744000,140,1,0.05665305815637112
time_routine,sparse_band_matrix,2744000,140,1,0.1629839800298214
time_apply,sparse_csr_matrix,2744000,140,1,0.1034153886139393
time_routine,sparse_csr_matrix,2744000,140,1,0.6218934352509677
time_apply,linear_stencil,3375000,150,1,0.06980474013835192
time_routine,linear_stencil,3375000,150,1,0.08142999093979597
time_apply,sparse_band_matrix,3375000,150,1,0.06874899985268712
time_routine,sparse_band_matrix,3375000,150,1,0.1995958019979298
time_apply,sparse_csr_matrix,3375000,150,1,0.1273413286544383
time_routine,sparse_csr_matrix,3375000,150,1,0.7683876622468233
time_apply,linear_stencil,4096000,160,1,0.08429894270375371
time_routine,linear_stencil,4096000,160,1,0.09882478509098291
time_apply,sparse_band_matrix,4096000,160,1,0.08900191588327289
time_routine,sparse_band_matrix,4096000,160,1,0.2525986568070948
time_apply,sparse_csr_matrix,4096000,160,1,0.1566137340851128
time_routine,sparse_csr_matrix,4096000,160,1,0.9334435132332146
time_apply,linear_stencil,4913000,170,1,0.1035607089288533
time_routine,linear_stencil,4913000,170,1,0.1215938050299883
time_apply,sparse_band_matrix,4913000,170,1,0.10738719208166
time_routine,sparse_band_matrix,4913000,170,1,0.3414583150297403
time_apply,sparse_csr_matrix,4913000,170,1,0.1860474501736462
time_routine,sparse_csr_matrix,4913000,170,1,1.122240986209363
time_apply,linear_stencil,5832000,180,1,0.1216875948011875
time_routine,linear_stencil,5832000,180,1,0.1432801340706646
time_apply,sparse_band_matrix,5832000,180,1,0.1278960611671209
time_routine,sparse_band_matrix,5832000,180,1,0.4033082467503846
time_apply,sparse_csr_matrix,5832000,180,1,0.2204676102846861
time_routine,sparse_csr_matrix,5832000,180,1,1.328683974221349
time_apply,linear_stencil,6859000,190,1,0.1437145238742232
time_routine,linear_stencil,6859000,190,1,0.1664574737660587
time_apply,sparse_band_matrix,6859000,190,1,0.1497374582104385
time_routine,sparse_band_matrix,6859000,190,1,0.4776635910384357
time_apply,sparse_csr_matrix,6859000,190,1,0.26048698509112
time_routine,sparse_csr_matrix,6859000,190,1,1.568359300959855
time_apply,linear_stencil,8000000,200,1,0.1672983528114855
time_routine,linear_stencil,8000000,200,1,0.1974494601599872
time_apply,sparse_band_matrix,8000000,200,1,0.1763926818966866
time_routine,sparse_band_matrix,8000000,200,1,0.5527427466586232
time_apply,sparse_csr_matrix,8000000,200,1,0.3025926998816431
time_routine,sparse_csr_matrix,8000000,200,1,1.831504527945071
time_apply,linear_stencil,9261000,210,1,0.1922689848579466
time_routine,linear_stencil,9261000,210,1,0.2248602928593755
time_apply,sparse_band_matrix,9261000,210,1,0.2017852240242064
time_routine,sparse_band_matrix,9261000,210,1,0.6386280301958323
time_apply,sparse_csr_matrix,9261000,210,1,0.347841490060091
time_routine,sparse_csr_matrix,9261000,210,1,2.118613235186785
time_apply,linear_stencil,10648000,220,1,0.2214985210448503
time_routine,linear_stencil,10648000,220,1,0.2606698949821293
time_apply,sparse_band_matrix,10648000,220,1,0.2324100597761571
time_routine,sparse_band_matrix,10648000,220,1,0.7359359236434102
time_apply,sparse_csr_matrix,10648000,220,1,0.4008921347558498
time_routine,sparse_csr_matrix,10648000,220,1,2.413428778760135
time_apply,linear_stencil,12167000,230,1,0.254128388594836
time_routine,linear_stencil,12167000,230,1,0.297464185860008
time_apply,sparse_band_matrix,12167000,230,1,0.2654866483062506
time_routine,sparse_band_matrix,12167000,230,1,0.8377623623237014
time_apply,sparse_csr_matrix,12167000,230,1,0.4615437579341233
time_routine,sparse_csr_matrix,12167000,230,1,2.756919234059751
time_apply,linear_stencil,13824000,240,1,0.2856663358397782
time_routine,linear_stencil,13824000,240,1,0.3394495323300362
time_apply,sparse_band_matrix,13824000,240,1,0.301337949000299
time_routine,sparse_band_matrix,13824000,240,1,0.9528518412262201
time_apply,sparse_csr_matrix,13824000,240,1,0.5230881799943745
time_routine,sparse_csr_matrix,13824000,240,1,3.141296985093504
time_apply,linear_stencil,15625000,250,1,0.3241305290721357
time_routine,linear_stencil,15625000,250,1,0.3827282902784646
time_apply,sparse_band_matrix,15625000,250,1,0.3439819756895304
time_routine,sparse_band_matrix,15625000,250,1,1.080573030281812
time_apply,sparse_csr_matrix,15625000,250,1,0.5994129860773683
time_routine,sparse_csr_matrix,15625000,250,1,3.586707238573581
time_apply,linear_stencil,17576000,260,1,0.3684405768290162
time_routine,linear_stencil,17576000,260,1,0.4320442117750645
time_apply,sparse_band_matrix,17576000,260,1,0.3891028552316129
time_routine,sparse_band_matrix,17576000,260,1,1.216825937852263
time_apply,sparse_csr_matrix,17576000,260,1,0.6716909180395305
time_routine,sparse_csr_matrix,17576000,260,1,4.012928255833685
time_apply,linear_stencil,19683000,270,1,0.4084449922665954
time_routine,linear_stencil,19683000,270,1,0.4736984181217849
time_apply,sparse_band_matrix,19683000,270,1,0.4301871210336685
time_routine,sparse_band_matrix,19683000,270,1,1.353794426191598
time_apply,sparse_csr_matrix,19683000,270,1,0.7483410853892565
time_routine,sparse_csr_matrix,19683000,270,1,4.474415664095432
time_apply,linear_stencil,21952000,280,1,0.45449726190418
time_routine,linear_stencil,21952000,280,1,0.5350984698161483
time_apply,sparse_band_matrix,21952000,280,1,0.480302563868463
time_routine,sparse_band_matrix,21952000,280,1,1.514565184246749
time_apply,sparse_csr_matrix,21952000,280,1,0.8344158492982388
time_routine,sparse_csr_matrix,21952000,280,1,5.019882664084435
time_apply,linear_stencil,24389000,290,1,0.5038446830585599
time_routine,linear_stencil,24389000,290,1,0.5924906609579921
time_apply,sparse_band_matrix,24389000,290,1,0.5324797490611672
time_routine,sparse_band_matrix,24389000,290,1,1.686298581771553
time_apply,sparse_csr_matrix,24389000,290,1,0.6427048537880182
time_routine,sparse_csr_matrix,24389000,290,1,4.176827027928084
time_apply,linear_stencil,27000000,300,1,0.3852070020511746
time_routine,linear_stencil,27000000,300,1,0.4637908991426229
time_apply,sparse_band_matrix,27000000,300,1,0.4385910867713392
time_routine,sparse_band_matrix,27000000,300,1,1.525731414090842
time_apply,sparse_csr_matrix,27000000,300,1,0.7098695109598339
time_routine,sparse_csr_matrix,27000000,300,1,4.342607089783996
time_apply,linear_stencil,29791000,310,1,0.4185137609019876
time_routine,linear_stencil,29791000,310,1,0.534144570119679
time_apply,sparse_band_matrix,29791000,310,1,0.4875707109458745
time_routine,sparse_band_matrix,29791000,310,1,1.705227999016643
time_apply,sparse_csr_matrix,29791000,310,1,0.7849757759831846
time_routine,sparse_csr_matrix,29791000,310,1,4.826090776361525
time_apply,linear_stencil,32768000,320,1,0.4673763327300549
time_routine,linear_stencil,32768000,320,1,0.5669310376979411
time_apply,sparse_band_matrix,32768000,320,1,0.5465988107025623
time_routine,sparse_band_matrix,32768000,320,1,1.885453954339027
time_apply,sparse_csr_matrix,32768000,320,1,0.8631204427219927
time_routine,sparse_csr_matrix,32768000,320,1,5.274710852652788
time_apply,linear_stencil,35937000,330,1,0.5084394481964409
time_routine,linear_stencil,35937000,330,1,0.6358092483133078
time_apply,sparse_band_matrix,35937000,330,1,0.5825960719957948
time_routine,sparse_band_matrix,35937000,330,1,2.037759694736451
time_apply,sparse_csr_matrix,35937000,330,1,0.9441113127395511
time_routine,sparse_csr_matrix,35937000,330,1,5.853618822060525
time_apply,linear_stencil,39304000,340,1,0.5544897671788931
time_routine,linear_stencil,39304000,340,1,0.6917000659741461
time_apply,sparse_band_matrix,39304000,340,1,0.6366469580680132
time_routine,sparse_band_matrix,39304000,340,1,2.273553838022053
time_apply,sparse_csr_matrix,39304000,340,1,1.047935301903635
time_routine,sparse_csr_matrix,39304000,340,1,6.325979958288372
time_apply,linear_stencil,42875000,350,1,0.606538622174412
time_routine,linear_stencil,42875000,350,1,0.8008703687228262
time_apply,sparse_band_matrix,42875000,350,1,0.7025936748832464
time_routine,sparse_band_matrix,42875000,350,1,2.442978064063936
time_apply,sparse_csr_matrix,42875000,350,1,1.119565153960139
time_routine,sparse_csr_matrix,42875000,350,1,7.184080347884446
time_apply,linear_stencil,46656000,360,1,0.6593495667912066
time_routine,linear_stencil,46656000,360,1,0.8012772011570632
time_apply,sparse_band_matrix,46656000,360,1,0.7626205971464515
time_routine,sparse_band_matrix,46656000,360,1,2.711024305317551
time_apply,sparse_csr_matrix,46656000,360,1,1.217291458044201
time_routine,sparse_csr_matrix,46656000,360,1,7.554132806137204
time_apply,linear_stencil,50653000,370,1,0.7173891980201006
time_routine,linear_stencil,50653000,370,1,0.9220131146721542
time_apply,sparse_band_matrix,50653000,370,1,0.8274726630188525
time_routine,sparse_band_matrix,50653000,370,1,2.897580794990063
time_apply,sparse_csr_matrix,50653000,370,1,1.351171663030982
time_routine,sparse_csr_matrix,50653000,370,1,8.19933399092406
time_apply,linear_stencil,54872000,380,1,0.7766294288448989
time_routine,linear_stencil,54872000,380,1,0.9791092337109149
time_apply,sparse_band_matrix,54872000,380,1,0.9079667921178043
time_routine,sparse_band_matrix,54872000,380,1,3.182449230924249
time_apply,sparse_csr_matrix,54872000,380,1,1.434073064941913
time_routine,sparse_csr_matrix,54872000,380,1,8.998556619975716
time_apply,linear_stencil,59319000,390,1,0.8333609881810844
time_routine,linear_stencil,59319000,390,1,1.065738027915359
time_apply,sparse_band_matrix,59319000,390,1,0.9711846061982214
time_routine,sparse_band_matrix,59319000,390,1,3.377051447983831
time_apply,sparse_csr_matrix,59319000,390,1,1.561502455268055
time_routine,sparse_csr_matrix,59319000,390,1,9.63769075088203
time_apply,linear_stencil,64000000,400,1,0.9129225560463965
time_routine,linear_stencil,64000000,400,1,1.184150170069188
time_apply,sparse_band_matrix,64000000,400,1,1.061533303931355
time_routine,sparse_band_matrix,64000000,400,1,3.640459284652025
time_apply,sparse_csr_matrix,64000000,400,1,1.688785105012357
time_routine,sparse_csr_matrix,64000000,400,1,10.42235668702051
time_apply,linear_stencil,68921000,410,1,0.9691642839461565
time_routine,linear_stencil,68921000,410,1,1.292863944079727
time_apply,sparse_band_matrix,68921000,410,1,1.122489736881107
time_routine,sparse_band_matrix,68921000,410,1,3.935434659011662
time_apply,sparse_csr_matrix,68921000,410,1,1.813324850983918
time_routine,sparse_csr_matrix,68921000,410,1,11.18949969811365
time_apply,linear_stencil,74088000,420,1,1.050856684800237
