node_id,impl_id,region_id,obj_levels_rows,obj_cols,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,4,95219650000,78695390000,73231010000,62254970000,46310000000,1079209000,33.4870,40.5192,2843.4334,0.8501,46310000000,0.6324,1079209000,0.0147,0.0233
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,8,88967120000,73210530000,49608680000,55814970000,37829660000,1032712000,31.1515,37.8587,2855.7461,1.1251,37829660000,0.7626,1032712000,0.0208,0.0273
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,16,85523230000,70085110000,37797520000,52452420000,34041190000,1262988000,29.8233,36.3930,2867.6424,1.3877,34041190000,0.9006,1262988000,0.0334,0.0371
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,32,84575550000,69288960000,31891940000,51430050000,31986630000,1374904000,29.4845,35.9897,2868.4518,1.6126,31986630000,1.0030,1374904000,0.0431,0.0430
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,64,82924950000,66787490000,28939150000,49871390000,30954120000,1359067000,28.4190,35.2873,2917.8057,1.7233,30954120000,1.0696,1359067000,0.0470,0.0439
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,128,83354850000,68118100000,27462760000,50027800000,30449560000,1379089000,28.9854,35.4704,2875.6344,1.8217,30449560000,1.1088,1379089000,0.0502,0.0453
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,256,83027330000,67882590000,26724560000,49808330000,30169460000,1375611000,28.8863,35.3317,2874.2113,1.8638,30169460000,1.1289,1375611000,0.0515,0.0456
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,512,82873630000,67785190000,26355460000,49683620000,30029600000,1377379000,28.8446,35.2659,2873.0466,1.8851,30029600000,1.1394,1377379000,0.0523,0.0459
gauss3,linear_stencil_tiling,time_apply,2050,2050,1,1024,82856540000,67745880000,26170910000,49663020000,29990380000,1375077000,28.8277,35.2581,2874.1617,1.8976,29990380000,1.1459,1375077000,0.0525,0.0459
gauss3,linear_stencil_tiling,time_apply,2050,2050,2,4,207083500000,164688700000,52776470000,171616800000,65312490000,18737880000,70.0793,88.1211,2954.9321,3.2518,65312490000,1.2375,18737880000,0.3550,0.2869
gauss3,linear_stencil_tiling,time_apply,2050,2050,2,8,212500500000,169740000000,39354700000,178476400000,77708890000,22698650000,72.2289,90.4261,2941.9965,4.5351,77708890000,1.9746,22698650000,0.5768,0.2921
gauss3,linear_stencil_tiling,time_apply,2050,2050,2,16,150013300000,123489500000,32643780000,120195700000,61749790000,15915210000,52.5511,63.8356,2854.7409,3.6820,61749790000,1.8916,15915210000,0.4875,0.2577
gauss3,linear_stencil_tiling,time_apply,2050,2050,2,32,89138070000,73387670000,29288320000,60488000000,37887890000,6546682000,31.2473,37.9312,2854.3434,2.0653,37887890000,1.2936,6546682000,0.2235,0.1728
gauss3,linear_stencil_tiling,time_apply,2050,2050,2,64,79520630000,65336550000,27610590000,50860020000,31355820000,3232882000,27.8486,33.8393,2860.1090,1.8420,31355820000,1.1356,3232882000,0.1171,0.1031
