node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,threads,runtime,efficiency

gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,1,35.7297,1.0
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,1,53.1172,1.0
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,2,18.6971,0.9554877494370786
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,2,34.9113,0.7607450882665499
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,4,9.80093,0.9113854501562608
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,4,21.3305,0.6225498699045966
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,8,5.36276,0.8328197607202262
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,8,16.5533,0.4011073320727589
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,16,4.35353,0.5129415095336428
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,16,15.7336,0.21100224996186506
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,32,3.96239,0.2817877909544492
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,32,15.1108,0.1098494123408423
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,64,3.70195,0.15080607855319494
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,64,15.1482,0.05478910035515771
gauss3,strong_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,128,3.60826,0.0773609111455383
gauss3,strong_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,128,19.3162,0.021483424534846397

gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,814,814,814,1,1.34813,1.0
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,814,814,814,1,2.0476,1.0
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,2050,2050,2050,16,4.33111,0.01945416417500364
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,2050,2050,2050,16,15.6446,0.008180138833846823
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,2006,2006,2006,15,4.25143,0.021140024258504395
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,2006,2006,2006,15,19.2289,0.00709903669303323
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1958,1958,1958,14,4.1143,0.023404953455022727
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1958,1958,1958,14,17.6472,0.008287838459197087
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1910,1910,1910,13,4.10687,0.025250935065465357
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1910,1910,1910,13,16.6886,0.00943804107640499
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1862,1862,1862,12,3.83631,0.029284433913491528
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1862,1862,1862,12,15.5033,0.011006258882517486
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1806,1806,1806,11,3.846,0.031866165555713144
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1806,1806,1806,11,14.5745,0.01277199592064596
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1750,1750,1750,10,3.73513,0.036093255120973035
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1750,1750,1750,10,13.4687,0.015202655044659098
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1690,1690,1690,9,2.85935,0.05238680896785012
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1690,1690,1690,9,11.5792,0.0196482581794175
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1626,1626,1626,8,2.73041,0.061718295054588874
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1626,1626,1626,8,10.4466,0.024500794516876305
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1554,1554,1554,7,2.59315,0.07426874650521567
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1554,1554,1554,7,9.39221,0.031144351086090042
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1478,1478,1478,6,2.56735,0.08751760894826703
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1478,1478,1478,6,8.42176,0.040522012817589985
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1390,1390,1390,5,2.45492,0.10983087025239112
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1390,1390,1390,5,7.29624,0.05612753966426543
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1290,1290,1290,4,2.13122,0.15814064244892598
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1290,1290,1290,4,6.02078,0.08502220642508114
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1174,1174,1174,3,2.34558,0.19158445530174484
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1174,1174,1174,3,5.19018,0.1315047519225409
gauss3,weak_scale_env_threads_spread,linear_stencil_para,apply,1026,1026,1026,2,2.15398,0.31293930305759576
gauss3,weak_scale_env_threads_spread,linear_stencil_para,routine,1026,1026,1026,2,4.1223,0.24835650001212917
