node_id,bench_id,scale,impl_id,region_id,obj_cols,obj_rows,obj_levels,threads,runtime,efficiency
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,206,206,206,1,0.00753187,1.0
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,206,206,206,1,0.0266017,1.0
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1030,1030,1030,128,1.28979,4.562194960032254e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1030,1030,1030,128,3.46851,5.991788440857889e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1026,1026,1026,127,1.43791,4.1244627961503835e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1026,1026,1026,127,3.59369,5.8286108352253375e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1026,1026,1026,126,1.43874,4.154798367442765e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1026,1026,1026,126,3.59307,5.875883385923547e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1022,1022,1022,125,1.55238,3.881456859789485e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1022,1022,1022,125,3.68111,5.781234464604427e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1018,1018,1018,124,1.26583,4.7985027291796056e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1018,1018,1018,124,3.36841,6.368875484566231e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1018,1018,1018,123,1.26459,4.84225839577685e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1018,1018,1018,123,3.36691,6.423515441156354e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1014,1014,1014,122,1.24175,4.971744662312245e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1014,1014,1014,122,3.31906,6.569532376982501e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1010,1010,1010,121,1.24263,5.0092834958219454e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1010,1010,1010,121,3.29494,6.672314528658443e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1010,1010,1010,120,1.25615,4.9966630842919504e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1010,1010,1010,120,3.30894,6.699451586711555e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1006,1006,1006,119,1.24407,5.087577484392682e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1006,1006,1006,119,3.2748,6.826178620953696e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,1002,1002,1002,118,1.20184,5.310973738572608e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,1002,1002,1002,118,3.2063,7.031099260618791e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,998,998,998,117,1.18053,5.453055599176409e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,998,998,998,117,3.16121,7.192339555580212e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,998,998,998,116,1.17576,5.5223781888398526e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,998,998,998,116,3.15627,7.265696534200179e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,994,994,994,115,1.1569,5.661208552090106e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,994,994,994,115,3.11658,7.422210578094662e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,990,990,990,114,1.14559,5.767249634486972e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,990,990,990,114,3.07555,7.587203772139458e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,990,990,990,113,1.14474,5.822607475423178e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,990,990,990,113,3.07614,7.652879073653449e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,986,986,986,112,1.1322,5.9396607742195976e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,986,986,986,112,3.04108,7.810224610053948e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,982,982,982,111,1.12509,6.0310450439240144e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,982,982,982,111,3.01042,7.960847820402301e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,978,978,978,110,1.11401,6.14640312515556e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,978,978,978,110,2.97767,8.121572785555026e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,978,978,978,109,1.10409,6.258522835153131e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,978,978,978,109,2.96617,8.227859279069698e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,974,974,974,108,1.0887,6.405762564254344e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,974,974,974,108,2.93224,8.400132220999544e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,970,970,970,107,1.104,6.37602431261005e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,970,970,970,107,2.92323,8.504771047491601e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,966,966,966,106,1.10096,6.453947224103562e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,966,966,966,106,2.89823,8.659058596531819e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,966,966,966,105,1.10369,6.499297378620378e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,966,966,966,105,2.89816,8.741736957570452e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,962,962,962,104,1.04242,6.947470973607273e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,962,962,962,104,2.81739,9.078813260609178e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,958,958,958,103,1.02525,7.13240199525098e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,958,958,958,103,2.77764,9.298142741278025e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,954,954,954,102,1.06751,6.917205716583268e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,954,954,954,102,2.79862,9.318913621433307e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,954,954,954,101,1.06555,6.998542564593845e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,954,954,954,101,2.79627,9.419089298130426e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,950,950,950,100,1.01322,7.433597836600147e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,950,950,950,100,2.72291,9.769584745731589e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,946,946,946,99,1.00015,7.606808473678443e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,946,946,946,99,2.68777,9.997285497049242e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,942,942,942,98,0.986918,7.78745714705078e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,942,942,942,98,2.65388,0.00010228266476530473
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,938,938,938,97,0.994291,7.809398287814825e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,938,938,938,97,2.64058,0.00010385761078888245
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,938,938,938,96,0.995205,7.88349929578998e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,938,938,938,96,2.63747,0.00010506320135078946
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,934,934,934,95,0.983544,8.060934956164967e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,934,934,934,95,2.60796,0.00010737047145540657
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,930,930,930,94,0.978727,8.186785139854595e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,930,930,930,94,2.58494,0.00010947906276766125
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,926,926,926,93,0.955979,8.471718464774394e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,926,926,926,93,2.53741,0.00011272903667370923
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,922,922,922,92,0.938215,8.725947908945502e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,922,922,922,92,2.50075,0.00011562487775406507
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,918,918,918,91,0.942368,8.7829597564648e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,918,918,918,91,2.48506,0.00011763352741035373
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,918,918,918,90,0.918222,9.114075293822677e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,918,918,918,90,2.45736,0.00012028129555475977
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,914,914,914,89,0.925606,9.142956377658395e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,914,914,914,89,2.44785,0.00012210531920582452
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,910,910,910,88,0.904918,9.458252771873454e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,910,910,910,88,2.40673,0.00012560280773271014
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,906,906,906,87,0.877209,9.869166685568047e-05
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,906,906,906,87,2.35993,0.00012956598995167936
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,902,902,902,86,0.848701,0.00010319286028993748
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,902,902,902,86,2.31272,0.00013374818093986985
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,898,898,898,85,0.881227,0.00010055324597875195
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,898,898,898,85,2.3253,0.0001345895912228909
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,894,894,894,84,0.853198,0.00010509297847348335
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,894,894,894,84,2.27784,0.00013902947738291747
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,890,890,890,83,0.808323,0.00011226381246945463
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,890,890,890,83,2.21472,0.00014471464096524808
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,890,890,890,82,0.808251,0.00011364300591119801
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,890,890,890,82,2.21349,0.00014656084988400942
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,886,886,886,81,0.807201,0.00011519565682242224
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,886,886,886,81,2.19474,0.0001496377928058522
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,882,882,882,80,0.808731,0.00011641494514245157
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,882,882,882,80,2.17506,0.00015287911597840976
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,878,878,878,79,0.78319,0.00012173307445483022
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,878,878,878,79,2.13294,0.0001578714730591744
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,874,874,874,78,0.763367,0.00012649542866987427
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,874,874,874,78,2.09556,0.00016274763590516897
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,870,870,870,77,0.785772,0.00012448457505038804
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,870,870,870,77,2.09692,0.00016475431746400596
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,866,866,866,76,0.751503,0.00013187379509007808
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,866,866,866,76,2.04635,0.00017104716613533982
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,862,862,862,75,0.751627,0.00013361006634052974
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,862,862,862,75,2.02881,0.00017482629390299403
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,858,858,858,74,0.737756,0.00013796163911513704
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,858,858,858,74,1.99951,0.00017978526360579964
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,854,854,854,73,0.727042,0.00014191243610391563
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,854,854,854,73,1.96808,0.00018515855519850234
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,850,850,850,72,0.696883,0.00015011028473295454
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,850,850,850,72,1.92225,0.00019220603748500744
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,846,846,846,71,0.687507,0.00015430050320409543
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,846,846,846,71,1.89376,0.0001978454666831676
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,842,842,842,70,0.679717,0.0001582984431125643
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,842,842,842,70,1.86877,0.00020335530092750083
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,838,838,838,69,0.683095,0.00015979847053760322
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,838,838,838,69,1.85606,0.00020771520535864735
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,834,834,834,68,0.673737,0.0001644006401869677
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,834,834,834,68,1.83032,0.00021373392116582634
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,830,830,830,67,0.657463,0.00017098448148299407
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,830,830,830,67,1.79569,0.0002211073729360094
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,826,826,826,66,0.645635,0.00017675504336698357
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,826,826,826,66,1.76924,0.00022781310653504364
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,822,822,822,65,0.626808,0.0001848650991642147
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,822,822,822,65,1.73477,0.00023591422671415986
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,818,818,818,64,0.622422,0.00018907665337986125
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,818,818,818,64,1.71343,0.0002425845015553597
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,814,814,814,63,0.606283,0.000197190902703015
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,814,814,814,63,1.67862,0.0002515454399144573
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,810,810,810,62,0.604723,0.0002008882979373174
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,810,810,810,62,1.66635,0.0002574847285500374
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,806,806,806,61,0.60242,0.00020496211727453372
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,806,806,806,61,1.64427,0.00026522009318600404
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,802,802,802,60,0.577368,0.00021741968149718494
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,802,802,802,60,1.60568,0.00027612081278129304
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,798,798,798,59,0.57373,0.00022250677768170056
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,798,798,798,59,1.58751,0.0002840147597095078
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,790,790,790,58,0.532871,0.00024369843280307412
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,790,790,790,58,1.51579,0.00030258149215920413
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,786,786,786,57,0.541721,0.00024392273915066723
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,overall,786,786,786,57,1.50804,0.00030947222303657075
gauss3,e_efficiency_by_threads_weak,weak,linear_stencil,apply,782,782,782,56,0.513175,0.0002620893039829075
