node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,tiling_cols,tiling_rows,tiling_levels,runtime
gauss3,cache,tiling,apply,16,2050,2050,2050,4,1,1,2.14413
gauss3,cache,tiling,routine,16,2050,2050,2050,4,1,1,4.99181
gauss3,cache,tiling,apply,16,2050,2050,2050,8,1,1,1.96847
gauss3,cache,tiling,routine,16,2050,2050,2050,8,1,1,4.78758
gauss3,cache,tiling,apply,16,2050,2050,2050,16,1,1,1.94482
gauss3,cache,tiling,routine,16,2050,2050,2050,16,1,1,4.76272
gauss3,cache,tiling,apply,16,2050,2050,2050,32,1,1,1.91499
gauss3,cache,tiling,routine,16,2050,2050,2050,32,1,1,4.73692
gauss3,cache,tiling,apply,16,2050,2050,2050,64,1,1,1.90598
gauss3,cache,tiling,routine,16,2050,2050,2050,64,1,1,4.71311
gauss3,cache,tiling,apply,16,2050,2050,2050,128,1,1,1.92276
gauss3,cache,tiling,routine,16,2050,2050,2050,128,1,1,4.72852
gauss3,cache,tiling,apply,16,2050,2050,2050,256,1,1,2.003
gauss3,cache,tiling,routine,16,2050,2050,2050,256,1,1,4.79405
gauss3,cache,tiling,apply,16,2050,2050,2050,512,1,1,1.98176
gauss3,cache,tiling,routine,16,2050,2050,2050,512,1,1,4.89789
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,1,1,1.9144
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,1,1,4.78046
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,1,1,1.87375
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,1,1,4.74393
gauss3,cache,tiling,apply,16,2050,2050,2050,4,2,2,3.46699
gauss3,cache,tiling,routine,16,2050,2050,2050,4,2,2,6.28183
gauss3,cache,tiling,apply,16,2050,2050,2050,8,2,2,2.91199
gauss3,cache,tiling,routine,16,2050,2050,2050,8,2,2,5.7289
gauss3,cache,tiling,apply,16,2050,2050,2050,16,2,2,2.28439
gauss3,cache,tiling,routine,16,2050,2050,2050,16,2,2,5.12099
gauss3,cache,tiling,apply,16,2050,2050,2050,32,2,2,2.02182
gauss3,cache,tiling,routine,16,2050,2050,2050,32,2,2,4.84304
gauss3,cache,tiling,apply,16,2050,2050,2050,64,2,2,1.99998
gauss3,cache,tiling,routine,16,2050,2050,2050,64,2,2,4.81655
gauss3,cache,tiling,apply,16,2050,2050,2050,128,2,2,1.935
gauss3,cache,tiling,routine,16,2050,2050,2050,128,2,2,4.74119
gauss3,cache,tiling,apply,16,2050,2050,2050,256,2,2,2.0007
gauss3,cache,tiling,routine,16,2050,2050,2050,256,2,2,4.93667
gauss3,cache,tiling,apply,16,2050,2050,2050,512,2,2,1.84674
gauss3,cache,tiling,routine,16,2050,2050,2050,512,2,2,4.78557
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,2,2,1.72571
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,2,2,4.66508
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,2,2,1.61146
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,2,2,4.56881
gauss3,cache,tiling,apply,16,2050,2050,2050,4,4,4,5.50117
gauss3,cache,tiling,routine,16,2050,2050,2050,4,4,4,8.43459
gauss3,cache,tiling,apply,16,2050,2050,2050,8,4,4,4.87769
gauss3,cache,tiling,routine,16,2050,2050,2050,8,4,4,7.82392
gauss3,cache,tiling,apply,16,2050,2050,2050,16,4,4,3.58299
gauss3,cache,tiling,routine,16,2050,2050,2050,16,4,4,6.52927
gauss3,cache,tiling,apply,16,2050,2050,2050,32,4,4,2.87137
gauss3,cache,tiling,routine,16,2050,2050,2050,32,4,4,5.83364
gauss3,cache,tiling,apply,16,2050,2050,2050,64,4,4,2.58986
gauss3,cache,tiling,routine,16,2050,2050,2050,64,4,4,5.51833
gauss3,cache,tiling,apply,16,2050,2050,2050,128,4,4,2.30743
gauss3,cache,tiling,routine,16,2050,2050,2050,128,4,4,5.25018
gauss3,cache,tiling,apply,16,2050,2050,2050,256,4,4,1.81942
gauss3,cache,tiling,routine,16,2050,2050,2050,256,4,4,4.77717
gauss3,cache,tiling,apply,16,2050,2050,2050,512,4,4,1.70423
gauss3,cache,tiling,routine,16,2050,2050,2050,512,4,4,4.64135
