node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume

gauss3,e_memory,one_coeff,apply,100,100,100,1000000,128,229567.2306,0.0547,229567.2306,0.0547,260673.3743,0.0526,523.7153,149.9841,458.8072,50220.3408,0.0290
gauss3,e_memory,one_coeff,overall,100,100,100,1000000,128,318408.5742,381.2211,318408.5742,381.2211,140584.8945,205.8333,145.7730,54.6254,610.1181,62774.0652,65.5717
gauss3,e_memory,one_coeff,apply,120,120,120,1728000,128,149693.2397,0.0754,149693.2397,0.0754,51029.7417,0.5284,257.9510,99.2451,622.3101,71131.7887,0.0240
gauss3,e_memory,one_coeff,overall,120,120,120,1728000,128,318107.2402,413.4501,318107.2402,413.4501,134406.3125,207.6708,11031.0003,4576.1433,629.8946,64437.6794,68.9505
gauss3,e_memory,one_coeff,apply,140,140,140,2744000,128,125238.6622,0.1102,125238.6622,0.1102,196738.9904,0.0796,438.2900,127.6424,415.5184,47044.8601,0.0650
gauss3,e_memory,one_coeff,overall,140,140,140,2744000,128,279325.0453,497.9919,279325.0453,497.9919,145031.5825,199.5765,285.4919,105.7238,614.8456,64775.4664,70.9240
gauss3,e_memory,one_coeff,apply,160,160,160,4096000,128,92199.4696,0.1562,92199.4696,0.1562,172253.5670,0.1383,349.7115,133.3463,565.5668,55540.3596,0.0622
gauss3,e_memory,one_coeff,overall,160,160,160,4096000,128,318849.8129,404.3849,318849.8129,404.3849,121700.2763,185.9550,360.6586,142.7354,595.8853,64377.8162,88.7728
gauss3,e_memory,one_coeff,apply,180,180,180,5832000,128,134016.1475,0.2415,134016.1475,0.2415,45503.1148,2.0701,896.0119,352.5545,690.3924,46926.9160,0.1386
gauss3,e_memory,one_coeff,overall,180,180,180,5832000,128,327481.1327,388.4981,327481.1327,388.4981,138406.6180,214.6248,185.5187,73.6264,633.3583,63845.4017,85.9196
gauss3,e_memory,one_coeff,apply,200,200,200,8000000,128,77843.8909,3.3814,77843.8909,3.3814,35594.1920,0.4987,204.5896,98.2619,741.5872,53569.6062,0.1840
gauss3,e_memory,one_coeff,overall,200,200,200,8000000,128,324260.7602,406.2566,324260.7602,406.2566,139582.8655,177.5646,395.7492,150.7899,618.3888,64137.8590,71.6437
gauss3,e_memory,one_coeff,apply,220,220,220,10648000,128,82027.6051,0.3806,82027.6051,0.3806,119151.4498,0.3755,503.5150,225.3762,719.6938,57560.9927,0.2382
gauss3,e_memory,one_coeff,overall,220,220,220,10648000,128,315034.5646,311.1734,315034.5646,311.1734,149028.9206,138.4295,144.6848,56.9537,625.0834,63544.5058,95.8141
