node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,100,100,100,1000000,64,193017.0769,0.0468,193017.0769,0.0468,234921.8577,0.0410,5.2565,1.5685,7.0848,73247.8669,0.0126
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,100,100,100,1000000,64,4169.9912,1.7945,4169.9912,1.7945,13678.9492,5.7710,18.7621,1.8959,8.6949,1054.3847,0.4526
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,120,120,120,1728000,64,351946.5301,0.0718,351946.5301,0.0718,78899.2100,0.0626,2.8722,0.6498,5.2194,79930.1806,0.0144
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,120,120,120,1728000,64,3521.4418,1.5220,3521.4418,1.5220,13432.0675,5.6867,18.0387,1.7199,8.9870,1219.4132,0.5195
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,140,140,140,2744000,64,226296.5628,0.1032,226296.5628,0.1032,144370.1675,0.0988,3.9023,1.0540,6.4399,23933.6636,0.0235
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,140,140,140,2744000,64,8780.8010,3.6982,8780.8010,3.6982,13603.2815,5.8818,17.2440,1.9839,9.3146,1527.1188,0.6585
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,160,160,160,4096000,64,192606.4376,0.1472,192606.4376,0.1472,96917.9799,0.1354,3.5808,1.1819,7.3733,73436.5416,0.0550
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,160,160,160,4096000,64,4114.1847,1.7331,4114.1847,1.7331,12079.5811,5.1867,4.0658,1.5358,8.9599,1491.8979,0.6435
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,180,180,180,5832000,64,334317.6418,0.2047,334317.6418,0.2047,269785.0922,0.1893,4.2728,0.8868,5.1177,77900.0501,0.0505
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,180,180,180,5832000,64,4206.6697,1.8157,4206.6697,1.8157,12131.6790,5.2688,15.9587,2.1141,8.1727,1708.3013,0.7371
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,200,200,200,8000000,64,425423.9658,0.2729,425423.9658,0.2729,439596.9692,0.2743,5.1806,0.7998,3.8471,89299.7111,0.0468
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,200,200,200,8000000,64,5374.7754,2.1351,5374.7754,2.1351,14015.3094,6.0721,12.7163,1.4777,7.3536,1674.2638,0.7258
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,220,220,220,10648000,64,217235.6651,0.3585,217235.6651,0.3585,179215.4351,0.3448,4.1962,1.2555,7.0996,71405.6686,0.1194
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,220,220,220,10648000,64,4343.0132,1.8690,4343.0132,1.8690,14054.3700,6.0054,10.2848,1.9279,9.2299,1949.3250,0.8575
gauss3,e_memory_by_cells,\Verb{const_coeff},apply,240,240,240,13824000,64,278213.6310,0.4595,278213.6310,0.4595,267353.5638,0.4599,4.9132,1.1152,5.4810,74686.5820,0.1283
gauss3,e_memory_by_cells,\Verb{const_coeff},overall,240,240,240,13824000,64,5275.8814,2.2896,5275.8814,2.2896,14843.3123,6.4534,10.7025,1.6906,8.4679,2159.5020,0.9527
