node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,threads,runtime,efficiency
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,1,21.5065,1.0
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,1,40.0603,1.0
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,2,13.2163,0.8136354350309845
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,2,22.6892,0.8828054757329478
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,4,6.95323,0.7732557386998561
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,4,12.025,0.8328544698544698
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,8,3.57378,0.7522322302995706
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,8,6.73001,0.7440609300729122
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,16,1.82657,0.735890904810656
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,16,3.89101,0.6434752801971724
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,32,1.37403,0.48912914929077234
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,32,3.18239,0.39337867923164666
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,64,1.26392,0.2658705159345528
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,64,3.05946,0.20459237496159452
gauss3,e_efficiency,nonlinear,apply,1600,1600,1600,128,1.29701,0.12954374388015513
gauss3,e_efficiency,nonlinear,routine,1600,1600,1600,128,2.982,0.10495341842723004

gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,1,27.4171,1.0
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,1,47.086,1.0
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,2,14.275,0.9603187390542908
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,2,25.0009,0.9416860993004251
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,4,6.78456,1.0102755373966772
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,4,12.4344,0.9466882197773917
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,8,3.35316,1.0220620250748549
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,8,6.36186,0.9251618237433706
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,16,1.84442,0.9290556109779768
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,16,3.94893,0.7452335189532354
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,32,1.3835,0.6192875858330322
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,32,3.19,0.4612656739811912
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,64,1.25648,0.34094628446135233
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,64,3.05694,0.24067163568797556
gauss3,e_efficiency,nonlinear_01,apply,1600,1600,1600,128,1.29695,0.16515370195458576
gauss3,e_efficiency,nonlinear_01,routine,1600,1600,1600,128,3.05162,0.1205456036465877

gauss3,efficiency,several_coeff,apply,1600,1600,1600,1,23.9191,1.0
gauss3,efficiency,several_coeff,routine,1600,1600,1600,1,45.2838,1.0
gauss3,efficiency,several_coeff,apply,1600,1600,1600,2,12.4773,0.9585046444342927
gauss3,efficiency,several_coeff,routine,1600,1600,1600,2,24.3246,0.9308231173380035
gauss3,efficiency,several_coeff,apply,1600,1600,1600,4,6.26829,0.9539722954745233
gauss3,efficiency,several_coeff,routine,1600,1600,1600,4,12.5155,0.9045543526027726
gauss3,efficiency,several_coeff,apply,1600,1600,1600,8,3.04493,0.9819232297622605
gauss3,efficiency,several_coeff,routine,1600,1600,1600,8,6.4404,0.878901155207751
gauss3,efficiency,several_coeff,apply,1600,1600,1600,16,1.69688,0.8809955624440149
